source	replies	label
This is a new low. Obama SPENT money to close natl parks but shut down the Amber Alert website. Look for yourself: http://t.co/jG1QYAt7xe	@RepRWilliams @amontondo what do you propose doing about it? Patriots are tired of this.<EOS>@Leslie_H20 @SpreadButter @RepRWilliams @badluthifer No, he's a sociopathic Marxist/Communist w/an agenda. Playing this for all it's worth!<EOS>@RepRWilliams<EOS>@RepRWilliams Due to the lapse in funding, the website has been shut down. Can't even see it.<EOS>@RepRWilliams @SpreadButter Surely there is something that Congress can do about it! At least try! Spread the word loud and often!!<EOS>@RepRWilliams Because saving "just one child" is nothing compared to inflicting pain on the populace for political advantage.<EOS>@RepRWilliams what do call people who terrorize USA? Does the shutdown do this to Americans? If you agree, you are a domestic terrorist.<EOS>Better Dead than Red! RT @82102222: @RepRWilliams @betseyross Obama now holds children hostage....communist tactic !<EOS>@RepRWilliams @PoliticsOfFear Republicans ill loose Next Elections.#RepublicansShowdown<EOS>@RepRWilliams @Freedom4USNow privatize the alert system. NOW! #tcot<EOS>@RepRWilliams @mdj17 Everything he does it at the expense of the citizens.<EOS>@RepRWilliams Amber Alert site down, Michelle Obama site working. I guess an egotistical black woman is more important than missing children<EOS>@RepRWilliams PLEASE DO SOMETHING! This Country has gone batshit crazy!<EOS>@RepRWilliams @SpreadButter Well, Congressman, when it involves democrats and their gofer Obama, it's'Sleazy is as Sleazy Does'!  Cheers!<EOS>DOJ closing http://t.co/I5iIGL0lbX violates their OWN procedures for what will be funded and what won't http://t.co/z87WWo3qgj @RepRWilliams<EOS>@RepRWilliams So DO something about it!<EOS>@RepRWilliams This is blatant and damaging misinformation. Stop pointing fingers, pick up your pen, and draft a reasonable solution.<EOS>@RepRWilliams  Not passing a budget is the real low. No Budget No $ for All our Obligations. Every single one is important #passthebudget<EOS>@RepRWilliams Go to website. Delete word "unavailable" in URL hit enter.....site is fully functioning just not amber alerts!!!!<EOS>@RepRWilliams Anti-American House GOP conspired with Kochs to shut down government. Surrender! http://t.co/SJp8ejAM6J  #p2 #tcot #4jobs<EOS>@RepRWilliams @betseyross Obama now holds children hostage....communist tactic !<EOS>@RepRWilliams @Vote4Wallace  You guys need 2 do something bout him.Hes committing untold crimes on ALL Americans.Impeachments the only answ.<EOS>@RepRWilliams That's why obstructionists like you should get out of the way and allow a vote to keep the government running.<EOS>@RepRWilliams http://t.co/QF71a1KnOJ<EOS>@RepRWilliams @HackersCantHide get a Sprcial Prosecutor onboard on Monday, start prosecuting the criminals in our gov., IRS, Benghazi, AP...<EOS>@RepRWilliams @BruceCarrollSC may all take notice of this: #victims of #governmentshutdown are decided by executive power! #liberty<EOS>@RepRWilliams his wifes website is still up and running. Guess the kids aren't as important as he would like us to think.<EOS>@RepRWilliams Hey jackass, YOU and your idiots on your side of the isle shut down government.<EOS>@RepRWilliams Surprise, you're an idiot.  Resign, idiot.<EOS>@RepRWilliams @Vote4Wallace guess they don't consider justice service "essential".<EOS>	rumour
iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/a9ToforCOp	@BuzzFeed Bwahahahaha<EOS>@MichaelRayner79 .... “@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/k5frQg8Um4”<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/j9kyevh1F7” lmaooo this just sound funny 😂😂<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/hhp7h7GZme”@laurenoselett<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/47XFZwdrXD” @peacelovefierce<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/ddNpCvZE5G” @TomTeazer<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/pSQ8egnJu6” oh gosh...<EOS>Lol at 'phablets' RT “@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/YPgbyy6KlN”<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/5kAzxEwFIY” @nicokop7<EOS>@AnneWalters why would t the 6 also do this since it's also the same thickness? This is exactly why I'm waiting to decide what I get!<EOS>@jverdi 😮 “@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/E9Je1aAy8g”<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/YmCDEK34Js” @geoteacho<EOS>@BuzzFeed @cwarzel Regardless of the size, people shouldn't be sitting on their phones! People are stupid.<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/8btP2woRpf” @DrCassieWatson ??<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/Fh6yuvHeqc” @Nathanfed<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/4n2DACu2o1” @CraigRanier<EOS>Why? Why would you sit on it?“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/ttHp35uWPq”<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/DeJQkzwlQG” BAHAHAHA😂😂<EOS>@abbey_rogan @BuzzFeed i can't handle this. i'm still laughing about it.<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/gJwoZtP8P7”@MalloryMitchem<EOS>“@BuzzFeed:iPhone 6 + users are sitting on and bending their enormous new phones http://t.co/batcmCTCWD”@hyebolt @Chris_Mards @carrie_mards<EOS>“@BuzzFeed: iPhone 6 Plus users are sitting on and bending their enormous new phones http://t.co/J7X33cBcYz” @jovo30<EOS>	rumour
@UsmanRx, Can humans become infected with the COVID-19 from an animal source? @a_sabo12 @YZYau @hamzaish @sagiru_ado @Mairo_Ado @ChiromaHope @ICTAdvocates @NCDCgov	@kamalkano @a_sabo12 @YZYau @hamzaish @sagiru_ado @Mairo_Ado @ChiromaHope @ICTAdvocates @NCDCgov Yes, it is possible. Infact some research papers have it that Covid19 originated from animal source. However the identity of such animal has not been determined.<EOS>	nonrumour
	nonrumour
	rumour
@Mahdresher1 @WardenKristina @maddow https://t.co/5xC51dkhLK. The WHO, in its Myth busters FAQs, addresses the question: "Does the new coronavirus affect older people, or are younger people also susceptible?" by answering that: People of all ages can be infected by the new coronavirus (2019-nCoV).	A 68 second snapshot of how the Trump presidency will be remembered. https://t.co/tIt1sTuuoI<EOS>@maddow Richest man in china just donated 500,000 test kits to the US. Trump looks so bad at this point. His incompetence is unreal. https://t.co/ybgbsdMqaY<EOS>@WardenKristina @maddow Laughable. The only people who need to get tested are those at risk for respiratory problems. Your panic and fear are dragging mankind into the gutter.<EOS>@Mahdresher1 @WardenKristina @maddow Actually there have been numerous cases of healthy young individuals with no comorbidities contracting the virus and dying. It is a misconception that only the old and sick are affected. Also: Italy didn’t take it very seriously in the beginning and look where they are now<EOS>@electrobunny @WardenKristina @maddow Citation needed<EOS>@Mahdresher1 @WardenKristina @maddow Yes I agree that those who are elderly and are immunocompromised are definitely at greater risk, but it is inaccurate to say that only those who have respiratory illnesses need to get tested.<EOS>	nonrumour
So is covid-19 airborne??	@YO_CJ It can stay in the air but not for long. I think I saw that for a cough it can travel 6 ft before falling to the ground, 12 ft if they sneeze but that was a week or so ago<EOS>@arronHimself69 I just read a study that has me nervous  but I’m not sure if I’m interpreting it right<EOS>@Ace_ofHeARTS Yeah that’s what I thought but somebody just showed me a study that said that there’s evidence that it can be airborne but Idk 😕<EOS>@YO_CJ I doubt that if it is then we're all fucked. We've got patients that resulted positive and are not in negative pressure rooms<EOS>@chief_mansamusa Hold on im tryna link you to this study I just saw<EOS>@YO_CJ Droplet<EOS>	nonrumour
Well, this is one way to quit your job. Watch Alaskan reporter Charlo Green quit live on air. http://t.co/zxZuNLcJEn http://t.co/gKWzUPLf9E	@CNN praise for @alexisreporter, KTVA director: Great poise given cursing coworker's Live ambush. With news platform comes responsibility.<EOS>@CNN like a bawse!!<EOS>@CNN she'll never work in showbiz again but what balls.... Go sista<EOS>@CNN what a way to say good by...<EOS>@CNN Yawnnnn...<EOS>@CNN not an advocate just a #famewhore could have been done with class.... #Alaska<EOS>@CNN lol<EOS>@CNN the poor woman felt inadequate, due to her limited vocabulary<EOS>@CNN All she did by her choice of words and actions is prove to the government their right as far as potheads go.lol.<EOS>@CNN @brensss3 👆<EOS>@CNN<EOS>“@CNN: …Watch Alaskan reporter Charlo Green quit live on air. http://t.co/9ko0ei19Sn http://t.co/HUOQFxCVpm” Hire her!!!<EOS>@cnn Incredibly unprofessional both as a news reporter and political advocate.<EOS>@CNN well she will probably never work again. Employers are well connected to the media platform<EOS>@CNN @cnni I am on want a Alaskan Feminine? But what was i thinking later daddy oh guess I am wondering about later take care.<EOS>@CNN http://t.co/If7uPjFmjw<EOS>@CNN<EOS>“@CNN: Watch Alaskan reporter Charlo Green quit live on air. http://t.co/ZRdgV6YtCo http://t.co/6B2ZyTLQtd” what a badass<EOS>Interesting way to quit your job. Alaskan reporter quit live on air. http://t.co/u5neWqoJjd http://t.co/H8QycBC6VH” via @CNN<EOS>@CNN  I understand that immediately after she quit she ate a whole bag of Doritos and half a dozen donuts.<EOS>@CNN Cool!<EOS>@CNN no employable in the future, it's so silly.<EOS>@CNN lack of professionalism. Kids watch the news, and where was the broadcast tech on that one? Seven-second delay?<EOS>@CNN don't need job, just pot<EOS>Ídolo. RT @CNN: Watch Alaskan reporter Charlo Green quit live on air. http://t.co/FdJLAk7vD8 http://t.co/Dv0fcufDFv<EOS>@CNN and I bet you wouldn't hire her now.<EOS>@CNN cool<EOS>@CNN I saw that. Like wow.<EOS>“@CNN: Well, this is one way to quit your job. Watch Alaskan reporter Charlo Green quit live on air." What a way to quit a job...<EOS>@CNN The anchors reaction is the best part.<EOS>@CNN she had enough lol!!<EOS>.@CNN Her last name HAD to be Green, didn't it?<EOS>@CNN Now it's going to be hard for black people to get reporting jobs in Alaska. Disgrace! Could have done it in a better way.<EOS>@CNN ho-hum. Sounds like she's had a little too much of her stash, and her brains have turned to mush...#theresyoursign<EOS>@CNN @eamslider24 She explains her actions here.  https://t.co/UQU8x16JVr<EOS>@CNN @JamesMcOnie ata I see this all the time on prime TV or ch 4 at 7pm Monday to Friday<EOS>@CNN she's a living legend<EOS>@CNN why this attitude on air<EOS>@CNN<EOS>“@CNN: Well, this is one way to quit your job. http://t.co/3W3Ak5kh4V http://t.co/i5hvYfeMDK” *Slow Clap*<EOS>@CNN  Must 've inherited $$ from her dead aunt or about 2 open her OWN network like OPRAH b'cos she just kissed the media goodbye for LIFE!!<EOS>@CNN<EOS>@CNN @cnni lafffffffff<EOS>@CNN @cnni @prodiver02 you must watch this!!! Lol<EOS>@CNN she is my hero!<EOS>@CNN she had to have won the lottery. That's the only way you can quit like that...lol<EOS>@CNN She'll never get another on air job again!<EOS>@CNN @RSMarsh22 is this how you'll quit from McDonalds?<EOS>@CNN Televsion news is a joke anyhow. What kind of person actually watches that crap?<EOS>@CNN clown looking for 15 minutes...<EOS>@CNN f*+k it....lol...clown<EOS>@CNN cnn lol<EOS>@CNN it made her look unprofessional ,erratic  and kind of crazy. not good all around<EOS>@CNN Do you think money can buy pleasure of sex? What happened "When i met a prostitute?" Read here http://t.co/HNmZUUVxZ9<EOS>@CNN oh just shut the Fuck up, aborted que ball! She had balls to full off such an stunt on live TV! Not that I support her cause! Still!<EOS>@CNN @cnni And fined by the FCC maybe $10-30,000...<EOS>@CNN that was awesome!!<EOS>@CNN are we stupid or what??<EOS>@CNN @cnni LOL Two days late and a few dollars short...has CNN been smoking what she is selling and forgot to report it yesterday? LOL<EOS>@CNN  #USA  killed Millions in Iraq ,Palestine,Vietnam,...and supports Dictators governments #Icc4USA  http://t.co/v05uxfbTbQ<EOS>@CNN The delivery was arguably inappropriate, but I admire her zeal. The response of the Anchorwoman was absolutely  #Priceless.<EOS>“@CNN: Well, this is one way to quit your job...http://t.co/t1HYMrtHRr http://t.co/xFSWJWNLji” LOL 😂<EOS>@CNN if Palin could quite mid term then why not?<EOS>@CNN She's now lecturing on Broadcast Etiquette with Sarah Palin.<EOS>	nonrumour
America's first Muslim Female Judge; Carolyn Walker-Diallo. https://t.co/cGH4BJNh5Q	@Maestrouzy @Omar_Gaza But leopard print? Come on lol<EOS>@Maestrouzy @IslamIs4all thank you mr trump for make dis happen...<EOS>@Maestrouzy this is good. May she be guided to excel and prove all the doubting Thomases wrong. Go ahead &amp; stand protected<EOS>@asmaa_alawwa @iman512 @Maestrouzy Interesting. Could you give a couple of examples?<EOS>@ardee2x @Maestrouzy @palestyria Bro, do you even English?<EOS>@Maestrouzy Ma sha Allah<EOS>@Maestrouzy congrats 😤<EOS>@Maestrouzy @AbdulNasirJ this is what makes America is great nation<EOS>@Maestrouzy @AbdulNasirJ  Alhamdulilah<EOS>@Maestrouzy @palestyria Sharia law will cause death. Then I will.<EOS>@asmaa_alawwa @iman512 Actually, no Muslim country is practicing Shariah.<EOS>@iman512 @Maestrouzy I was thinking the same thing.  Too many idiots in this world.<EOS>@Maestrouzy this is very good news But I bet Trump and Fox News will start saying she is going to use Sharia law as her rulings<EOS>@Maestrouzy @nabilhuzein mom<EOS>	nonrumour
The most recently discovered coronavirus causes coronavirus disease COVID-19.  What is COVID-19? COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in Dec 2019.	WHAT ARE CORONAVIRUSES, COVID-19 AND HOW ARE THEY RELATED TO SARS?  What is a coronavirus? Coronaviruses are a large family of viruses which may cause illness in animals or humans.<EOS>In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS).<EOS>Is COVID-19 the same as SARS? No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.<EOS>SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003.<EOS>	nonrumour
12. Does the new coronavirus affect older people, or are younger people also susceptible? https://t.co/2CNbkcBrt5	9. Do vaccines against pneumonia protect you against the new coronavirus? https://t.co/MgDAO0QpWS<EOS>10. Can regularly rinsing your nose with saline help prevent infection with the new coronavirus? https://t.co/xRJO9VYSa1<EOS>11. Can eating garlic help prevent infection with the new coronavirus? https://t.co/fkqwRDCKaZ<EOS>13. Are antibiotics effective in preventing and treating the new coronavirus? https://t.co/wTdC1vzpSL<EOS>14. Are there any specific medicines to prevent or treat the new coronavirus? https://t.co/J2ALzvCyby<EOS>	nonrumour
@cheffatimah_ @gimbakakanda Why do we need it to be fluffy?	Quick question, guys. This woman is asking me to add milk to my egg before making omelette. Am I being pranked here? Because I’m too hungry to find it funny. ☹️<EOS>@gimbakakanda No, you're not being pranked Gimba. Adding milk to the egg before frying makes it fluffy.<EOS>@Donmeca @gimbakakanda It's just to give the egg extra bitty texture<EOS>@cheffatimah_ @gimbakakanda I tried eggs today, normal. Guess I'll have to add milk next time.  But no vex o. Is it powdered, condensed or evaporated milk?<EOS>	nonrumour
Can I get some reliable sources please, is COVID-19 airborne? There has been alot of talk abt not even going in our own backyards. Surely THAT should be ok?! @SkyNews @piersmorgan @va_shiva	@NadiaRocks @SkyNews @piersmorgan @va_shiva I can't find any reliable sources that state it is airborne. I know it remains on surfaces for hours depending on the material but that's all I can find.<EOS>@riceface11 @SkyNews @piersmorgan @va_shiva Thanks so much appreciate it, apparently it isnt airborne. Reason I asked was cus my cusin her hubby and their 12 yo jus recovered from it. The ONLY time they went out was in their garden to play basketball 🤔<EOS>	nonrumour
Alaskan reporter says "f*ck this," quits on live TV — her coworker's reaction is PRICELESS: http://t.co/YOwh1Uj10S http://t.co/I3MENHUrfp	@Cosmopolitan the reaction of the people filming this got us the most! That feeling of trying to hold in laughter 😫😭<EOS>ROFLMAO “@Cosmopolitan: Alaskan reporter says "f*ck this," quits on live TV http://t.co/8ybzla4rh2 http://t.co/k6v6lvrlq5”<EOS>@Cosmopolitan CRYING<EOS>@Cosmopolitan that poor girl they cut to looked like a deer in the headlights lmao!<EOS>@maddy_aumiller 😂😂😂😂😂😂✊✊✊✊<EOS>@Cosmopolitan 😂😩<EOS>@Cosmopolitan @Carpedaryn  ~ that's my plan for thee last day.<EOS>@Cosmopolitan MAARRRRYYY MEEEEEEE  HAHAHAHAHAHAHAHAAAAAA  GAAANGSTERRRRR!!!<EOS>	nonrumour
	rumour
	rumour
Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc	“@guardian: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/5aCd8u1xsY” 🙏 #Prayers<EOS>“@guardian: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/CDPVFv79w0”<EOS>@guardian This is their true colour :-(<EOS>“@guardian: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo live updates http://t.co/gdG7LUx7US” how horrific!<EOS>Appalling and so tragic. “@guardian: 11 dead in shooting at Paris offices of satirical magazine Charlie Hebdo http://t.co/KJYnGV41fM”<EOS>@guardian disgusting<EOS>Horrific:“@guardian: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/Zl4fwR6G4b”<EOS>@guardian @Flap muslims,,this is the magazine that published the Mohamed cartoon a few years ago<EOS>@guardian it's painful and inhuman to kill innocent people,  No religion permits it.<EOS>Shit ...“@guardian: Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/ENXAuuRuyv”<EOS>@guardian Shocking news.<EOS>	nonrumour
Authorities collecting passports at #MH17 crash site. Australian coat of arms clearly visible. http://t.co/ai16vY46FV http://t.co/JA0gjQt3P5	@newscomauHQ collecting... They were taking them and showing the cameras the faces of passengers and then throwing them back down. :(<EOS>@newscomauHQ Strange that passports look in very good condition when rest of plane demolished.<EOS>@newscomauHQ why are they in such good condition reminiscent of the ones found on 9/11<EOS>@newscomauHQ Is it just mean who finds these images disturbing. To what length would you have to go to have these passports in your hands?<EOS>@newscomauHQ @Harriett_Bur it's not authorities...<EOS>	rumour
Awful MT @SCClemons:UK aid worker David Haines beheaded by #ISIS Remember this great man this way not as ISIS wants http://t.co/UKaOOVHzjj	@Razarumi Sad! @SCClemons<EOS>@Razarumi @katejb @SCClemons Kate, es terrible, querida. Nuestro colega Peter está condenado en Egipto. El mundo está en guerra...<EOS>@Razarumi @DAaronovitch @SCClemons Thank you for this. It is a great way to remember this kind and compassionate man.<EOS>@Razarumi dm<EOS>	nonrumour
HP confirmed that it's splitting into two companies. And cutting 5,000 jobs. http://t.co/pKDKUUwLf6 $HP http://t.co/riqbrbdo9Y	@ForbesTech: HP confirmed that it's cutting 5,000 jobs. http://t.co/Z6cYVxQDSW $HP http://t.co/hSVyM2Os7M<EOS>@ForbesTech just like ebay<EOS>@ForbesTech OK now they are doing this just to give Carly Fiorina the finger: Remember #Compaq, anyone? #hpsplit<EOS>Will HP split do any good? MRT @ForbesTech: HP confirmed it's splitting, cutting 5k jobs. http://t.co/5ov7HbJoTb $HP http://t.co/T8CoUK6SUz<EOS>@ForbesTech Maybe they can learn to innovate again instead of eating other companies @Yahoo style!<EOS>@forbestech Hewlett-------Packard<EOS>	nonrumour
Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/m4FE8krPxl http://t.co/xzLBn9M2Ga	@Joerayment @wcuddington<EOS>“@Joerayment: Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/g6q6qBqvkt http://t.co/mmK3PWTJ1l”💔💔💔💔💔<EOS>@Joerayment @wcuddington Sending all my good vibes to this solider and to those who stepped up and helped.<EOS>@Joerayment @wcuddington please delete this photo. For the safety of all Canadian armed forces. Thanks<EOS>@Joerayment @wcuddington A little disrespectful to the soldier's family to be tweeting photos of him almost dying isn't it? #ottnews<EOS>@Joerayment @Jefftictac @wcuddington fusillade au parlement encore un soldat tué. Triste journée...c'est arrivé par manque de sécurité<EOS>@Joerayment @nationalpost @wcuddington pray for him #ParliamentHill #cdnpoli<EOS>@Joerayment @nationalpost @wcuddington I hope he pulls through<EOS>@Joerayment @ERAvaCole @wcuddington please out of respect remove fallen officer picture<EOS>Wow “@Joerayment: Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/QZXn9ciudu http://t.co/OkXIKBCCZa”<EOS>RT “@Joerayment: Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/4hM09qLGS8 http://t.co/1yMvAAI1Tf”<EOS>@Joerayment @wcuddington lets put hands together ...<EOS>RT “@Joerayment: Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/SRjoo7433h http://t.co/tAAxoqWZZz” @strombo #ottnews<EOS>“@Joerayment: Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/VWpMYQdE8H http://t.co/BePXq6zlI7”<EOS>@Joerayment @joy_bbj641 @wcuddington omg :(<EOS>@Write2Fite @Joerayment Muslims attacking the Western World!!!<EOS>“@Joerayment:  scene in #Ottawa http://t.co/mPLziFBQ8b http://t.co/KrEceuXX62” #Prayers for soldier shot &amp; all #Canadians ~ #PrayingForYou<EOS>“@Joerayment: Dramatic photos from @wcuddington on the scene in Ottawa http://t.co/4hPa9VolEE http://t.co/0EeFcGHZRR” @NOS<EOS>@Joerayment @1023TheWave @wcuddington Please respect the families. your dont need to show all the photos that show specific people.<EOS>	nonrumour
How does COVID-19 Spread? Here are the answers. Follow @MinofHealthUG guidelines and #StaySafeUg. #FightCoronaTogether https://t.co/tA5sBQ3SEP	@mtnug @MinofHealthUG @mtnug am losing patience wtf is wrong with your network, it’s not like the MTN I know<EOS>@john_zawa @MinofHealthUG Our apologies for the delayed response. Please DM us the affected number and we shall follow up. Thanks. #mtnugcare,Steve<EOS>@mtnug @MinofHealthUG MTN thank you so much, you have put effort in sensitizing the community.  Kudos 👏👏👏👏<EOS>	nonrumour
@KTRTRS Sir.. 3000 tests lo 800 positives. Ante 1/3rd. What is ur plan for COVID? Herd immunity ki aim chesthunnara? Ante half population ki vasthe migtha half population safe anta.. Adhe na sir plan?	ఆకుపచ్చని తెలంగాణే లక్ష్యంగా టీఆర్ఎస్ ప్రభుత్వం మొదలుపెట్టిన 'తెలంగాణకు హరితహారం' కార్యక్రమానికి ఆరేళ్ళు. గౌరవ ముఖ్యమంత్రి శ్రీ కేసీఆర్ ప్రత్యేక శ్రద్ధతో అమలు చేస్తున్న ఈ కార్యక్రమాన్ని రాష్ట్రమంతటా పండుగ వాతావరణంలో జరుపుకుంటున్నాం  #EachOnePlantOne  #HaritaHaaram  #Telangana https://t.co/vvuALsmx4U<EOS>	nonrumour
COVID-19 FACTS: ✅ Taking a hot bath does not prevent the new coronavirus disease ✅ The new coronavirus CANNOT be transmitted through mosquito bites ✅ Hand dryers are not effective in killing the virus ✅ UV lamps should not be used to sterilize hands or other areas of skin	COVID-19 FACTS: ✅ Thermal scanners are effective in detecting those who have fever; cannot detect those who are infected ✅ Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body<EOS>COVID-19 FACTS ✅ Vaccines against pneumonia do not provide protection against the new coronavirus ✅ There is no evidence that regularly rinsing the nose with saline has protected people from infection with the new coronavirus<EOS>COVID-19 FACTS ✅ Garlic is a healthy food that may have some antimicrobial properties. However, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus.<EOS>COVID-19 FACTS ✅ People of all ages can be infected by the new coronavirus. Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus<EOS>COVID-19 FACTS ✅ The new coronavirus is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment ✅ To date, there is no specific medicine recommended to prevent or treat the new coronavirus<EOS>Reference 📔https://t.co/5AhsScbnBf<EOS>	nonrumour
WIN: Macy's stops stocking SodaStream http://t.co/KYABAzaE4T #BDS #Palestine @aicnews http://t.co/8oW3VuZY4g	@BoycottAhava @jvplive @aicnews has nothing to do with #BDS,  lies,  lies and more lies.<EOS>@BoycottAhava @jvplive @aicnews That's great to hear. Good for Macy's!<EOS>@BoycottAhava @jvplive @aicnews http://t.co/SdbR7GIdrI<EOS>“@BoycottAhava: WIN: Macy's stops stocking SodaStream http://t.co/0c0UmYwNKO #BDS #Palestine @aicnews http://t.co/zo0hJlPRKE”@LeeAnn_L<EOS>@BoycottAhava @aicnews Run a TRAIN on that #ZIONIST_BITCH<EOS>@BoycottAhava @jvplive @aicnews you would like to see #Jewish people behind those bars! #antisemitic #BDS #neveragain<EOS>“@BoycottAhava: WIN: Macy's stops stocking SodaStream http://t.co/O7l5SNYtxD #BDS #Palestine @aicnews http://t.co/R3pKYjVHH0” lei lei lei<EOS>	rumour
@alexismadrigal @jackmurphylive The worst of what?  What is covid-19?   There isnt dispute that 90% of healthy people recover so what are we talking about? Hospitals arent overrun.  We arent over the worst of What?	One thing I think we've learned about the COVID-19 data is that we should not declare that we've passed the peak based on 2-3 days of data.   And yet, every week, Sat-Mon, I watch people declare that the worst is over.   https://t.co/bYLonU8Pkq<EOS>@leappoffo @alexismadrigal @jackmurphylive I guess 45,000 people dead in 7 weeks in the US and it’s not stopping any time soon- it’s getting ramped up here in KY....<EOS>@helenduncangavi @alexismadrigal @jackmurphylive 45,000 people died last year in the US in 7 weeks and that hasn't stopped.  And its not gotten worse. So what is covid-19?<EOS>One thing I think we've learned about the COVID-19 data is that we should not declare that we've passed the peak based on 2-3 days of data.   And yet, every week, Sat-Mon, I watch people declare that the worst is over.   https://t.co/bYLonU8Pkq<EOS>@leappoffo @alexismadrigal @jackmurphylive I guess 45,000 people dead in 7 weeks in the US and it’s not stopping any time soon- it’s getting ramped up here in KY....<EOS>@leappoffo @helenduncangavi @alexismadrigal @jackmurphylive Overall deaths are up troll, by 2x to 4x, in affected areas.<EOS>@jeffragusa @helenduncangavi @alexismadrigal @jackmurphylive Thank you for the facts<EOS>	nonrumour
❌#5G mobile networks DO NOT spread COVID-19 ❌  Viruses can't travel on radio waves/mobile networks.   COVID-19 is spread through respiratory droplets from an infected person. People can also be infected by touching a contaminated surface and then their eyes, mouth or nose. https://t.co/er6wzjMru1		nonrumour
#COVID-19 IS NOT transmitted through houseflies!  According to @WHO there is no evidence or information to suggest that the #COVID-19 virus transmitted through houseflies. https://t.co/hkNT9JVSX8	The virus that cause COVID-19 spreads primarily through droplets generated when an infected person coughs, sneezes or speaks. You can also become infected by touching a contaminated surface and then touching your eyes, nose or mouth before washing your hands.<EOS>To protect yourself, keep at least 1-metre distance from others and disinfect frequently-touched surfaces. Clean your hands thoroughly and often and avoid touching your eyes, mouth and nose. https://t.co/l7Qm83nLBN<EOS>	nonrumour
